8.332898150941300264e-01,0.000000000000000000e+00,4.999954803682613580e-01,5.000050033404531691e-01,5.000009098318676237e-01,5.000001653646345412e-01,4.999995538171149168e-01
4.999339383512271806e-01,8.330653645375748484e-01,4.999948977564570018e-01,5.000058056370151327e-01,5.000013043812190361e-01,5.000023571494600638e-01,5.000008231372004008e-01
8.336527462688738677e-01,8.002425656736230630e-01,4.999890449722012020e-01,4.999866002822635491e-01,5.000017582539211247e-01,4.999837068216131386e-01,5.000004920166504219e-01
5.834627088528214767e-01,8.565018303011082690e-01,4.999952265471700463e-01,4.999869828307397790e-01,5.000009716234835588e-01,5.000012677023432106e-01,5.000000121323544544e-01
8.334442720365422552e-01,6.002979939906040174e-01,4.999955619668418061e-01,5.000124332921935810e-01,5.000014131048982069e-01,5.000007977830313033e-01,5.000000274520627341e-01
2.504543609940006466e-01,3.342367510930656649e-01,4.999954986235264909e-01,5.000220601138605225e-01,5.000010326718363762e-01,5.000006287210367883e-01,4.999997525843551949e-01
7.500498504013530798e-01,6.667765184219553998e-01,4.999959528110941576e-01,5.000049731115353557e-01,5.000013034600521156e-01,5.000011348768125252e-01,5.000003584702900072e-01
7.498105789973321667e-01,2.220078157270817809e-01,4.999953074898972338e-01,5.000058107622358250e-01,5.000013412926285206e-01,5.000006859733532316e-01,4.999995210953815938e-01
6.667176966614761779e-01,2.498752549509712928e-01,4.999954349741966286e-01,5.000047139899687076e-01,5.000009103515327125e-01,5.000011191712885328e-01,5.000005485545950812e-01
8.332305594720632591e-01,4.999252205998558352e-01,4.999951025135963012e-01,4.999934864163284032e-01,5.000013540443815074e-01,5.000010879793627128e-01,4.999999006613030650e-01
1.000000000000000000e+00,3.333410806271610571e-01,4.999963475724739648e-01,5.000047398062010817e-01,5.000001875478095048e-01,5.000003425771862853e-01,4.999999084664094595e-01
8.334947122609737136e-01,1.001176404507197748e-01,4.999955927806635780e-01,5.000050047251605179e-01,5.000017143718886725e-01,5.000001633907504850e-01,4.999996799556545857e-01
1.665099191921162736e-01,4.998009023780290994e-01,4.999962451163272315e-01,5.000036962613032543e-01,5.000020312508975939e-01,5.000005049106096555e-01,5.000013867891768271e-01
4.998180586187145336e-01,3.328983554078753793e-01,4.999948563349925768e-01,5.000083041469142175e-01,5.000009057453760342e-01,5.000015676036220214e-01,5.000003001170443273e-01
9.168225778053901154e-01,1.817540491887028875e-01,4.999954096286877703e-01,5.000063566133984283e-01,5.000014207984171399e-01,5.000006503823956061e-01,4.999997254175468364e-01
6.666318939704891644e-01,4.999244041507254765e-01,5.000047500354728447e-01,5.000048057149631964e-01,5.000036364596486260e-01,5.000010982108517021e-01,4.999997838583352672e-01
5.836484366256320389e-01,7.139327202464919031e-01,4.999954961432102607e-01,5.000050055359487322e-01,5.000017130947986832e-01,5.000002653351258708e-01,4.999999097472110909e-01
5.832835487564184129e-01,2.861338378980367581e-01,5.000049861132561668e-01,5.000060180990845149e-01,4.999998814218710730e-01,5.000007915301946104e-01,4.999996240517262103e-01
